# DEMO-SIDE — NOT PAPER RESULTS
lever,K,scope,N,tag,method,feature,n_subsets,n,hdb_ari_mean,hdb_ari_std,frac_ari_ge0.6,oracle_km_mean,oracle_sp,frac_correctK,kest_mean
L1,4,,10,,classical-19,,70,,0.207,0.128,0.0,0.339,,0.386,
L1,4,,10,,frozen-512,,70,,0.136,0.111,0.0,0.339,,0.114,
L1,4,,10,,hybrid-pca64+19,,70,,0.176,0.116,0.0,0.282,,0.329,
L1,3,,10,,classical-19,,56,,0.214,0.16,0.0,0.397,,0.196,
L1,3,,10,,frozen-512,,56,,0.169,0.177,0.0,0.391,,0.054,
L1,3,,10,,hybrid-pca64+19,,56,,0.179,0.152,0.0,0.334,,0.196,
L2,8,full8,10,N=10,classical-19,,,1,0.116,,,0.207,,,2.0
L2,8,full8,10,N=10,hybrid-pca64+19,,,1,0.165,,,0.244,,,2.5
L2,8,full8,50,N=50,classical-19,,,1,0.311,,,0.586,,,3.0
L2,8,full8,50,N=50,hybrid-pca64+19,,,1,0.234,,,0.326,,,2.5
L2,8,full8,200,N=200->per-seg(fallback),classical-19,,,1,0.03,,,0.046,,,5.5
L2,8,full8,200,N=200->per-seg(fallback),hybrid-pca64+19,,,1,0.074,,,0.082,,,9.0
L2,8,full8,perseg,per-segment,classical-19,,,1,0.03,,,0.046,,,5.5
L2,8,full8,perseg,per-segment,hybrid-pca64+19,,,1,0.074,,,0.082,,,9.0
L2,4,K4,10,N=10,classical-19,,,70,0.207,,,0.339,,,4.09
L2,4,K4,10,N=10,hybrid-pca64+19,,,70,0.176,,,0.282,,,3.07
L2,4,K4,50,N=50,classical-19,,,70,0.44,,,0.808,,,2.44
L2,4,K4,50,N=50,hybrid-pca64+19,,,70,0.299,,,0.548,,,2.01
L2,4,K4,200,N=200->per-seg(fallback),classical-19,,,70,0.054,,,0.039,,,7.49
L2,4,K4,200,N=200->per-seg(fallback),hybrid-pca64+19,,,70,0.048,,,0.045,,,5.29
L2,4,K4,perseg,per-segment,classical-19,,,70,0.054,,,0.039,,,7.49
L2,4,K4,perseg,per-segment,hybrid-pca64+19,,,70,0.048,,,0.045,,,5.29
L3,8,full8,,,,"classical-19(25MS/s,per-seg)",,1,0.03,,,0.046,,0.0,
L3,4,K4,,,,"classical-19(25MS/s,per-seg)",,70,0.054,,,0.039,,0.0,
L3,8,full8,,,,fullband-native(50MS/s),,1,0.03,,,0.086,,0.0,
L3,4,K4,,,,fullband-native(50MS/s),,70,0.06,,,0.069,,0.114,
L3,8,full8,,,,fullband(+)encoder-block,,1,0.038,,,0.057,,0.0,
L3,4,K4,,,,fullband(+)encoder-block,,70,0.053,,,0.037,,0.071,
