# DEMO-SIDE — NOT PAPER RESULTS
lever,scope,K,N,tag,method,n,hdb_ari_mean,oracle_km_mean,kest_mean
L2,full8,8,10,N=10,classical-19,1,0.116,0.207,2.0
L2,full8,8,10,N=10,hybrid-pca64+19,1,0.165,0.244,2.5
L2,full8,8,50,N=50,classical-19,1,0.311,0.586,3.0
L2,full8,8,50,N=50,hybrid-pca64+19,1,0.234,0.326,2.5
L2,full8,8,200,N=200->per-seg(fallback),classical-19,1,0.03,0.046,5.5
L2,full8,8,200,N=200->per-seg(fallback),hybrid-pca64+19,1,0.074,0.082,9.0
L2,full8,8,perseg,per-segment,classical-19,1,0.03,0.046,5.5
L2,full8,8,perseg,per-segment,hybrid-pca64+19,1,0.074,0.082,9.0
L2,K4,4,10,N=10,classical-19,70,0.207,0.339,4.09
L2,K4,4,10,N=10,hybrid-pca64+19,70,0.176,0.282,3.07
L2,K4,4,50,N=50,classical-19,70,0.44,0.808,2.44
L2,K4,4,50,N=50,hybrid-pca64+19,70,0.299,0.548,2.01
L2,K4,4,200,N=200->per-seg(fallback),classical-19,70,0.054,0.039,7.49
L2,K4,4,200,N=200->per-seg(fallback),hybrid-pca64+19,70,0.048,0.045,5.29
L2,K4,4,perseg,per-segment,classical-19,70,0.054,0.039,7.49
L2,K4,4,perseg,per-segment,hybrid-pca64+19,70,0.048,0.045,5.29
