step,loss,lr,knn1,gap6,vgap,composite
500,3.6967,0.000417,0.7705,0.1418,0.2285,1.1408
1000,3.5564,0.000493,0.8348,0.1812,0.3162,1.3322
1500,3.3764,0.000467,0.847,0.2115,0.3621,1.4206
2000,3.3974,0.000422,0.8596,0.3089,0.3684,1.5369
2500,3.2131,0.000362,0.8511,0.2964,0.4042,1.5516
3000,3.2636,0.000293,0.8522,0.2705,0.3715,1.4942
3500,3.306,0.000221,0.857,0.2979,0.3898,1.5447
4000,3.279,0.000151,0.8699,0.2982,0.3848,1.553
4500,3.2967,8.9e-05,0.8681,0.2856,0.3745,1.5282
5000,3.1928,4.1e-05,0.8655,0.2771,0.3632,1.5057
5500,3.1519,1.1e-05,0.874,0.2622,0.3509,1.4871
6000,3.1254,0.0,0.8755,0.2604,0.3495,1.4853
