# DEMO-SIDE — NOT PAPER RESULTS
seed,scope,estimator,N,n_cases,correctK_frac,kerr_mean,ari_at_K
1234,K8,eigengap,120,1,1.0,0.0,0.772
1234,K8,stability,120,1,0.0,6.0,0.072
1234,K8,silhouette,120,1,0.0,6.0,0.072
1234,K8,gmm_bic,120,1,0.0,6.0,0.072
1234,K8,hdbscan,120,1,0.0,6.0,0.072
1234,K4,eigengap,120,70,0.543,0.471,0.803
1234,K4,stability,120,70,0.229,1.329,0.542
1234,K4,silhouette,120,70,0.229,1.429,0.543
1234,K4,gmm_bic,120,70,0.0,2.0,0.338
1234,K4,hdbscan,120,70,0.457,0.714,0.751
2024,K8,eigengap,120,1,0.0,1.0,0.746
2024,K8,stability,120,1,0.0,6.0,0.072
2024,K8,silhouette,120,1,0.0,6.0,0.072
2024,K8,gmm_bic,120,1,0.0,6.0,0.072
2024,K8,hdbscan,120,1,0.0,4.0,0.445
2024,K4,eigengap,120,70,0.471,0.571,0.8
2024,K4,stability,120,70,0.1,1.557,0.477
2024,K4,silhouette,120,70,0.2,1.414,0.524
2024,K4,gmm_bic,120,70,0.0,2.0,0.338
2024,K4,hdbscan,120,70,0.471,0.771,0.722
