proto,emb,mcs,n_bursts,per_dev,ARI,NMI,purity,K_est,noise
D0_coherent,128D,5,315,45,-0.0001681100978922239,0.08036655566036302,0.19682539682539682,3,0.044444444444444446
D0_coherent,128D,7,315,45,0.0003254027498578921,0.07163044938769343,0.1873015873015873,2,0.0380952380952381
D0_coherent,512D,5,315,45,-0.0005519980804890869,0.23685289929436654,0.3523809523809524,3,0.21587301587301588
D0_coherent,512D,7,315,45,-0.001303549380394571,0.25718836235746534,0.37777777777777777,3,0.2507936507936508
D0_coherent,CosFace,5,315,45,-0.0004592068401257678,0.2525603793360672,0.3746031746031746,3,0.24761904761904763
D0_coherent,CosFace,7,315,45,0.00014469177551277733,0.262739976832237,0.3746031746031746,2,0.2507936507936508
D1_multicond,128D,5,336,48,0.0034025054813089637,0.43644336963317953,0.8154761904761905,2,0.75
D1_multicond,128D,7,336,48,0.0008262479747179622,0.434755436031324,0.8095238095238095,2,0.75
D1_multicond,512D,5,336,48,0.0017485343168226633,0.47080368701722874,0.9136904761904762,3,0.8720238095238095
D1_multicond,512D,7,336,48,0.0002726173828869627,0.46185724454809285,0.8839285714285714,2,0.8422619047619048
D1_multicond,CosFace,5,336,48,0.0,0.501328045253385,1.0,0,1.0
D1_multicond,CosFace,7,336,48,0.0,0.501328045253385,1.0,0,1.0
