opt,group,ktrue,proto,emb,mcs,n_bursts,ARI,NMI,purity,K_est,noise
A,mavicAir2,8,D0_coherent,128D,5,152,0.0026043446980425094,0.13687360004220234,0.27631578947368424,3,0.09210526315789473
A,mavicAir2,8,D0_coherent,128D,7,152,0.0013476172202378737,0.10536327568265977,0.2236842105263158,2,0.06578947368421052
A,mavicAir2,8,D0_coherent,512D,5,152,0.004101860391206395,0.059718938412963815,0.21710526315789475,3,0.019736842105263157
A,mavicAir2,8,D0_coherent,512D,7,152,0.002599265870427994,0.08884582449504413,0.23684210526315788,3,0.046052631578947366
A,mavicAir2,8,D0_coherent,CosFace,5,152,0.005542007386222682,0.09124568512800443,0.24342105263157895,3,0.046052631578947366
A,mavicAir2,8,D0_coherent,CosFace,7,152,0.004207750309609932,0.1252383135612592,0.26973684210526316,3,0.07894736842105263
A,mavicAir2,8,D1_multicond,128D,5,256,0.0027973341677722426,0.337089163170698,0.44140625,2,0.32421875
A,mavicAir2,8,D1_multicond,128D,7,256,0.0046979589694561745,0.30005313614365,0.37890625,2,0.2578125
A,mavicAir2,8,D1_multicond,512D,5,256,0.0018295774909284448,0.24150897542232155,0.3046875,2,0.1796875
A,mavicAir2,8,D1_multicond,512D,7,256,0.006364687957031987,0.4907593804910441,0.84375,2,0.79296875
A,mavicAir2,8,D1_multicond,CosFace,5,256,0.040209308730377306,0.27449304851816986,0.26953125,2,0.09765625
A,mavicAir2,8,D1_multicond,CosFace,7,256,0.03862893456942677,0.27500574935774064,0.2734375,2,0.109375
A,mavicAir2s,7,D0_coherent,128D,5,21,0.0,0.7798563011193284,1.0,0,1.0
A,mavicAir2s,7,D0_coherent,128D,7,21,0.0,0.7798563011193284,1.0,0,1.0
A,mavicAir2s,7,D0_coherent,512D,5,21,0.0,0.14843125737956844,0.23809523809523808,2,0.0
A,mavicAir2s,7,D0_coherent,512D,7,21,0.0,0.7798563011193284,1.0,0,1.0
A,mavicAir2s,7,D0_coherent,CosFace,5,21,0.008849557522123894,0.22242783734349458,0.2857142857142857,2,0.047619047619047616
A,mavicAir2s,7,D0_coherent,CosFace,7,21,0.0,0.7798563011193284,1.0,0,1.0
A,mavicAir2s,7,D1_multicond,128D,5,140,0.054458066927173594,0.30362277283103295,0.3,3,0.06428571428571428
A,mavicAir2s,7,D1_multicond,128D,7,140,0.05020535846314151,0.3000069843713369,0.30714285714285716,2,0.11428571428571428
A,mavicAir2s,7,D1_multicond,512D,5,140,0.08731736456578792,0.35916900655941164,0.34285714285714286,2,0.07857142857142857
A,mavicAir2s,7,D1_multicond,512D,7,140,0.06878659625204439,0.3347733014236179,0.35,2,0.10714285714285714
A,mavicAir2s,7,D1_multicond,CosFace,5,140,0.0770106611746189,0.3433966671099409,0.3357142857142857,2,0.07857142857142857
A,mavicAir2s,7,D1_multicond,CosFace,7,140,0.07274216259997715,0.3596772158409828,0.36428571428571427,2,0.12142857142857143
B,mavicAir2,8,D0_coherent,128D,5,152,0.02096056216027821,0.2839122462415937,0.32894736842105265,4,0.11842105263157894
B,mavicAir2,8,D0_coherent,128D,7,152,0.018153807285745355,0.28505306894885113,0.3355263157894737,3,0.15789473684210525
B,mavicAir2,8,D0_coherent,512D,5,152,0.03587104333723115,0.25402325035898393,0.375,6,0.1118421052631579
B,mavicAir2,8,D0_coherent,512D,7,152,0.02848533335888358,0.24537169052497476,0.375,5,0.14473684210526316
B,mavicAir2,8,D0_coherent,CosFace,5,152,0.0351590050212112,0.32392977816626967,0.46710526315789475,5,0.24342105263157895
B,mavicAir2,8,D0_coherent,CosFace,7,152,0.008293764600057934,0.1647185873925959,0.29605263157894735,3,0.1118421052631579
B,mavicAir2,8,D1_multicond,128D,5,256,0.05492596970081153,0.3492360509019853,0.37890625,2,0.1953125
B,mavicAir2,8,D1_multicond,128D,7,256,0.05399421878393958,0.3703575413375744,0.41796875,2,0.25
B,mavicAir2,8,D1_multicond,512D,5,256,0.07139927024634583,0.39551482924993003,0.4375,2,0.24609375
B,mavicAir2,8,D1_multicond,512D,7,256,0.07452221044052063,0.418551502564285,0.48828125,2,0.33203125
B,mavicAir2,8,D1_multicond,CosFace,5,256,0.0,0.5454545454545452,1.0,0,1.0
B,mavicAir2,8,D1_multicond,CosFace,7,256,0.0,0.5454545454545452,1.0,0,1.0
B,mavicAir2s,7,D0_coherent,128D,5,21,0.24187725631768953,0.6752903241377035,0.6190476190476191,2,0.3333333333333333
B,mavicAir2s,7,D0_coherent,128D,7,21,0.0,0.7798563011193284,1.0,0,1.0
B,mavicAir2s,7,D0_coherent,512D,5,21,0.16905444126074498,0.4933911484143731,0.38095238095238093,3,0.047619047619047616
B,mavicAir2s,7,D0_coherent,512D,7,21,0.21052631578947367,0.5195552060130464,0.2857142857142857,2,0.0
B,mavicAir2s,7,D0_coherent,CosFace,5,21,0.21052631578947367,0.5195552060130464,0.2857142857142857,2,0.0
B,mavicAir2s,7,D0_coherent,CosFace,7,21,0.21052631578947367,0.5195552060130464,0.2857142857142857,2,0.0
B,mavicAir2s,7,D1_multicond,128D,5,140,0.014076562084437924,0.2049365802635212,0.2714285714285714,2,0.07857142857142857
B,mavicAir2s,7,D1_multicond,128D,7,140,0.2109364140133371,0.5586701480805193,0.8214285714285714,2,0.6
B,mavicAir2s,7,D1_multicond,512D,5,140,0.3965795465795466,0.6625313047997069,0.6285714285714286,4,0.18571428571428572
B,mavicAir2s,7,D1_multicond,512D,7,140,0.3582907629707564,0.6387859227229762,0.6428571428571429,4,0.2357142857142857
B,mavicAir2s,7,D1_multicond,CosFace,5,140,0.4084943044528823,0.6421269070809418,0.7214285714285714,4,0.2571428571428571
B,mavicAir2s,7,D1_multicond,CosFace,7,140,0.25060798734214307,0.5137168340716982,0.35714285714285715,2,0.07857142857142857
