opt,group,target,acc,chance,nclass
A,mavicAir2,D,0.6913183279742765,0.740234375,3
A,mavicAir2,C,0.4715969989281886,0.411328125,3
A,mavicAir2,U,0.9785637727759914,0.9671875,2
A,mavicAir2,H,0.4715969989281886,0.411328125,3
A,mavicAir2,St,nan,1.0,1
A,mavicAir2s,D,0.7675350701402806,0.5910364145658263,3
A,mavicAir2s,C,0.6492985971943888,0.5224089635854342,3
A,mavicAir2s,U,0.9739478957915831,0.969187675070028,2
A,mavicAir2s,H,0.6492985971943888,0.5224089635854342,3
A,mavicAir2s,St,nan,1.0,1
B,mavicAir2,D,0.6784565916398714,0.740234375,3
B,mavicAir2,C,0.4737406216505895,0.411328125,3
B,mavicAir2,U,0.9635584137191854,0.9671875,2
B,mavicAir2,H,0.4737406216505895,0.411328125,3
B,mavicAir2,St,nan,1.0,1
B,mavicAir2s,D,0.8276553106212425,0.5910364145658263,3
B,mavicAir2s,C,0.6693386773547094,0.5224089635854342,3
B,mavicAir2s,U,0.9759519038076152,0.969187675070028,2
B,mavicAir2s,H,0.6693386773547094,0.5224089635854342,3
B,mavicAir2s,St,nan,1.0,1
