opt,scope,emb,probe,n_af,per_af,acc_win,acc_burst,chance
A,all23,512,logreg,23,204,0.34965902045877245,0.47410358565737054,0.043478260869565216
A,all23,512,mlp,23,204,0.36577805331680097,0.47808764940239046,0.043478260869565216
A,all23,128,logreg,23,204,0.25356478611283323,0.3386454183266932,0.043478260869565216
A,all23,128,mlp,23,204,0.2486050836949783,0.32669322709163345,0.043478260869565216
A,same_mavicAir2,512,logreg,8,320,0.34606741573033706,0.5056179775280899,0.125
A,same_mavicAir2,512,mlp,8,320,0.3561797752808989,0.48314606741573035,0.125
A,same_mavicAir2,128,logreg,8,320,0.27303370786516856,0.449438202247191,0.125
A,same_mavicAir2,128,mlp,8,320,0.2393258426966292,0.34831460674157305,0.125
A,same_mavicAir2s,512,logreg,7,204,0.5070422535211268,0.6571428571428571,0.14285714285714285
A,same_mavicAir2s,512,mlp,7,204,0.5392354124748491,0.6285714285714286,0.14285714285714285
A,same_mavicAir2s,128,logreg,7,204,0.4507042253521127,0.6,0.14285714285714285
A,same_mavicAir2s,128,mlp,7,204,0.41448692152917505,0.5142857142857142,0.14285714285714285
B,all23,512,logreg,23,204,0.45071295722256666,0.6334661354581673,0.043478260869565216
B,all23,512,mlp,23,204,0.4804711717296962,0.6254980079681275,0.043478260869565216
B,all23,128,logreg,23,204,0.31680099194048356,0.44621513944223107,0.043478260869565216
B,all23,128,mlp,23,204,0.29324240545567265,0.4063745019920319,0.043478260869565216
B,same_mavicAir2,512,logreg,8,320,0.5123595505617977,0.7640449438202247,0.125
B,same_mavicAir2,512,mlp,8,320,0.5393258426966292,0.7528089887640449,0.125
B,same_mavicAir2,128,logreg,8,320,0.31235955056179776,0.4606741573033708,0.125
B,same_mavicAir2,128,mlp,8,320,0.2955056179775281,0.43820224719101125,0.125
B,same_mavicAir2s,512,logreg,7,204,0.7002012072434608,0.8571428571428571,0.14285714285714285
B,same_mavicAir2s,512,mlp,7,204,0.7022132796780685,0.8714285714285714,0.14285714285714285
B,same_mavicAir2s,128,logreg,7,204,0.5573440643863179,0.7285714285714285,0.14285714285714285
B,same_mavicAir2s,128,mlp,7,204,0.5090543259557344,0.6142857142857143,0.14285714285714285
