airframe,model,u1_files,u2_files,both_receivers,total_files
mavic3_1,mavic3,3,5,True,8
mavic3C_1,mavic3C,3,6,True,9
mavic3S_1,mavic3S,0,4,False,4
mavicAir2_1,mavicAir2,3,7,True,10
mavicAir2_2,mavicAir2,0,8,False,8
mavicAir2_3,mavicAir2,0,7,False,7
mavicAir2_4,mavicAir2,0,2,False,2
mavicAir2_5,mavicAir2,0,3,False,3
mavicAir2_6,mavicAir2,0,3,False,3
mavicAir2_7,mavicAir2,0,2,False,2
mavicAir2_8,mavicAir2,0,3,False,3
mavicAir2s_1,mavicAir2s,2,4,True,6
mavicAir2s_2,mavicAir2s,0,3,False,3
mavicAir2s_3,mavicAir2s,0,2,False,2
mavicAir2s_4,mavicAir2s,0,1,False,1
mavicAir2s_5,mavicAir2s,0,1,False,1
mavicAir2s_6,mavicAir2s,0,2,False,2
mavicAir2s_7,mavicAir2s,0,2,False,2
mini3pro_1,mini3pro,0,9,False,9
mini3pro_2,mini3pro,3,3,True,6
mini4PRO_1,mini4PRO,0,3,False,3
mini4PRO_2,mini4PRO,0,2,False,2
mini5PRO_1,mini5PRO,3,9,True,12
