step,loss,intra,inter,gap,rx_gap,lr,tau
1,5.5406,0.9899,0.9888,0.0011,0.0011,6e-07,0.5
250,5.2411,0.6899,0.3647,0.3252,0.1035,0.0001563,0.5
500,5.1021,0.7579,0.1705,0.5874,0.0813,0.0003125,0.5
750,4.5667,0.7888,0.0332,0.7556,0.0485,0.0004687,0.5
1000,4.4767,0.7901,-0.0114,0.8015,0.0497,0.0004991,0.5
1250,4.4481,0.8072,-0.0223,0.8296,0.0506,0.0004952,0.5
1500,4.4495,0.8226,-0.0235,0.8461,0.0502,0.0004885,0.5
1750,4.4725,0.7964,-0.0255,0.8219,0.0511,0.0004789,0.5
2000,4.3763,0.7934,-0.0311,0.8245,0.0519,0.0004666,0.5
2250,4.4279,0.79,-0.0096,0.7996,0.0503,0.0004517,0.5
2500,4.4032,0.8092,-0.0293,0.8386,0.0566,0.0004344,0.5
2750,4.3172,0.7938,-0.0238,0.8176,0.0595,0.0004149,0.5
3000,4.4243,0.8056,-0.0233,0.8289,0.0539,0.0003935,0.5
3250,4.4129,0.8028,-0.0346,0.8374,0.0397,0.0003703,0.5
3500,4.3582,0.8085,-0.0173,0.8258,0.0545,0.0003458,0.5
3750,4.3652,0.7986,-0.0051,0.8037,0.0538,0.0003201,0.5
4000,4.3558,0.8076,-0.0346,0.8422,0.0615,0.0002935,0.5
4250,4.2979,0.807,-0.0352,0.8422,0.043,0.0002665,0.5
4500,4.2927,0.8139,-0.0248,0.8387,0.0557,0.0002392,0.5
4750,4.2763,0.8059,-0.0332,0.8391,0.0383,0.0002121,0.5
5000,4.3699,0.805,-0.028,0.833,0.0544,0.0001854,0.5
5250,4.3265,0.8072,-0.0318,0.839,0.0531,0.0001595,0.5
5500,4.3844,0.8254,-0.0269,0.8523,0.046,0.0001347,0.5
5750,4.3047,0.8072,-0.0311,0.8382,0.0428,0.0001112,0.5
6000,4.2268,0.8194,-0.0277,0.8471,0.0474,8.94e-05,0.5
6250,4.2451,0.8261,-0.0226,0.8487,0.0455,6.95e-05,0.5
6500,4.3032,0.822,-0.0295,0.8515,0.0573,5.17e-05,0.5
6750,4.3155,0.8293,-0.0236,0.8529,0.0462,3.63e-05,0.5
7000,4.2267,0.8312,-0.0269,0.8581,0.045,2.35e-05,0.5
7250,4.2848,0.83,-0.0291,0.8591,0.045,1.33e-05,0.5
7500,4.2686,0.8294,-0.0281,0.8575,0.0464,5.9e-06,0.5
7750,4.3454,0.8304,-0.0272,0.8576,0.0456,1.5e-06,0.5
8000,4.3131,0.8307,-0.0277,0.8584,0.0456,0.0,0.5
