step,loss,intra,inter,gap,rx_gap,lr,tau
1,5.5406,0.9899,0.9888,0.0011,0.0011,1e-06,0.5
250,5.2154,0.8283,0.4159,0.4124,0.0345,0.00025,0.4751
500,4.6187,0.8089,0.0754,0.7335,0.0386,0.0005,0.4501
750,4.3734,0.762,-0.021,0.783,0.0613,0.0004962,0.4251
1000,4.3388,0.7722,-0.0127,0.7848,0.0468,0.000485,0.4001
1250,4.2015,0.7978,-0.0158,0.8137,0.0463,0.0004666,0.3751
1500,4.2232,0.7934,-0.0212,0.8147,0.0403,0.0004416,0.3501
1750,4.1244,0.8018,-0.0089,0.8107,0.0435,0.0004108,0.3251
2000,3.9786,0.796,-0.0126,0.8086,0.0479,0.0003752,0.3001
2250,3.9761,0.7811,0.0057,0.7754,0.064,0.0003357,0.2751
2500,3.8364,0.798,0.0218,0.7762,0.0634,0.0002936,0.2501
2750,3.7155,0.8029,0.0413,0.7616,0.055,0.0002502,0.2251
3000,3.8789,0.8084,0.065,0.7433,0.0625,0.0002068,0.2001
3250,3.8045,0.8144,0.0646,0.7499,0.045,0.0001647,0.2
3500,3.7784,0.811,0.0772,0.7337,0.0422,0.0001252,0.2
3750,3.7165,0.8072,0.0758,0.7314,0.0519,8.94e-05,0.2
4000,3.6853,0.8145,0.0722,0.7424,0.0459,5.86e-05,0.2
4250,3.5667,0.8075,0.0524,0.7552,0.0461,3.36e-05,0.2
4500,3.6231,0.8098,0.0617,0.7481,0.046,1.51e-05,0.2
4750,3.5806,0.8058,0.0572,0.7487,0.0495,3.8e-06,0.2
5000,3.7102,0.8052,0.055,0.7502,0.0501,0.0,0.2
