step,loss,intra,inter,gap,rx_gap,lr,tau
1,5.5406,0.9899,0.9888,0.0011,0.0011,1e-06,0.5
250,5.2791,0.8184,0.4346,0.3839,0.0402,0.00025,0.5
500,4.6954,0.7909,0.02,0.7709,0.0479,0.0005,0.5
750,4.5542,0.7793,-0.0218,0.8011,0.0529,0.0004962,0.5
1000,4.4639,0.7818,-0.0298,0.8116,0.0492,0.000485,0.5
1250,4.4393,0.8053,-0.0237,0.829,0.0484,0.0004666,0.5
1500,4.4475,0.8061,-0.0363,0.8425,0.049,0.0004416,0.5
1750,4.439,0.8117,-0.0195,0.8312,0.0474,0.0004108,0.5
2000,4.3504,0.8061,-0.0269,0.833,0.0494,0.0003752,0.5
2250,4.4136,0.7919,-0.0181,0.81,0.051,0.0003357,0.5
2500,4.3643,0.8124,-0.015,0.8274,0.0562,0.0002936,0.5
2750,4.3029,0.801,-0.0254,0.8264,0.0471,0.0002502,0.5
3000,4.44,0.8025,-0.0274,0.8299,0.058,0.0002068,0.5
3250,4.4262,0.8172,-0.0309,0.8482,0.0422,0.0001647,0.5
3500,4.3352,0.8169,-0.0255,0.8423,0.0423,0.0001252,0.5
3750,4.3364,0.8211,-0.0148,0.8358,0.0486,8.94e-05,0.5
4000,4.2991,0.8164,-0.0334,0.8498,0.0468,5.86e-05,0.5
4250,4.2713,0.8108,-0.0384,0.8493,0.0462,3.36e-05,0.5
4500,4.2878,0.8168,-0.0318,0.8486,0.0427,1.51e-05,0.5
4750,4.2908,0.8218,-0.0306,0.8524,0.0435,3.8e-06,0.5
5000,4.3551,0.8207,-0.0315,0.8523,0.0439,0.0,0.5
