step,loss,intra,inter,gap,rx_gap,lr,tau
1,5.5406,0.9899,0.9888,0.0011,0.0011,4e-07,0.5
250,5.3099,0.7673,0.4336,0.3338,0.0476,9.62e-05,0.5
500,5.1752,0.8127,0.3948,0.4179,0.0505,0.0001923,0.5
750,4.6622,0.7659,0.0518,0.7141,0.0571,0.0002885,0.5
1000,4.5745,0.7681,-0.0299,0.798,0.0685,0.0003846,0.5
1250,4.4917,0.8172,0.0092,0.808,0.0414,0.0004808,0.5
1500,4.4926,0.8028,-0.0297,0.8325,0.043,0.0004996,0.5
1750,4.4696,0.7939,-0.0222,0.8161,0.0576,0.0004982,0.5
2000,4.4349,0.7836,-0.0241,0.8077,0.0573,0.0004956,0.4966
2250,4.3777,0.8031,-0.0161,0.8192,0.0528,0.0004919,0.4796
2500,4.3889,0.8025,-0.0149,0.8173,0.0561,0.0004872,0.4625
2750,4.2697,0.8043,-0.0261,0.8304,0.0499,0.0004813,0.4454
3000,4.3129,0.7909,-0.0286,0.8195,0.0622,0.0004744,0.4283
3250,4.276,0.8076,-0.0263,0.8339,0.0424,0.0004665,0.4112
3500,4.182,0.7942,-0.0102,0.8044,0.0552,0.0004577,0.3941
3750,4.1245,0.8043,-0.0011,0.8054,0.0553,0.0004479,0.377
4000,4.079,0.7996,-0.0237,0.8233,0.0603,0.0004372,0.3599
4250,3.998,0.8127,-0.0183,0.831,0.0534,0.0004256,0.3428
4500,3.9784,0.8078,-0.0035,0.8114,0.0559,0.0004133,0.3257
4750,3.8642,0.7915,-0.0081,0.7997,0.0556,0.0004002,0.3086
5000,3.959,0.7996,0.0172,0.7823,0.057,0.0003865,0.2915
5250,3.8958,0.7888,-0.0008,0.7897,0.0676,0.0003721,0.2744
5500,4.0002,0.787,0.0027,0.7843,0.0619,0.0003572,0.2573
5750,3.7578,0.7999,0.0208,0.7791,0.0545,0.0003418,0.2402
6000,3.6292,0.7785,0.0333,0.7452,0.0635,0.000326,0.2231
6250,3.588,0.8113,0.0605,0.7507,0.0385,0.0003099,0.2061
6500,3.6373,0.7959,0.097,0.6989,0.0581,0.0002935,0.189
6750,3.6872,0.8163,0.1475,0.6688,0.0406,0.0002769,0.1719
7000,3.4242,0.8352,0.1825,0.6527,0.039,0.0002601,0.1548
7250,3.5814,0.8409,0.2516,0.5893,0.0291,0.0002434,0.1377
7500,3.4304,0.8708,0.3283,0.5425,0.0262,0.0002266,0.1206
7750,3.6009,0.8806,0.4009,0.4797,0.0264,0.00021,0.1035
8000,3.4708,0.9194,0.5952,0.3242,0.0229,0.0001935,0.07
8250,3.4373,0.92,0.5641,0.3559,0.0175,0.0001773,0.07
8500,3.4961,0.9156,0.5765,0.339,0.0179,0.0001614,0.07
8750,3.4832,0.9155,0.5678,0.3477,0.0188,0.0001459,0.07
9000,3.3904,0.9223,0.5552,0.367,0.0136,0.0001309,0.07
9250,3.4448,0.9194,0.5723,0.3471,0.0189,0.0001164,0.07
9500,3.3203,0.9104,0.5552,0.3553,0.0202,0.0001026,0.07
9750,3.4544,0.9166,0.5622,0.3544,0.0175,8.94e-05,0.07
10000,3.3685,0.9171,0.5596,0.3575,0.0196,7.69e-05,0.07
10250,3.2603,0.9175,0.5531,0.3644,0.0156,6.52e-05,0.07
10500,3.5965,0.9149,0.5505,0.3644,0.0171,5.43e-05,0.07
10750,3.3212,0.9159,0.5549,0.361,0.0168,4.43e-05,0.07
11000,3.1637,0.9137,0.5558,0.3579,0.02,3.52e-05,0.07
11250,3.1274,0.9123,0.5559,0.3563,0.0197,2.71e-05,0.07
11500,3.2202,0.9129,0.5596,0.3533,0.0213,2e-05,0.07
11750,3.3899,0.9143,0.5528,0.3615,0.0195,1.4e-05,0.07
12000,3.14,0.9138,0.5553,0.3584,0.0199,9e-06,0.07
12250,3.3606,0.9154,0.5496,0.3658,0.0182,5.1e-06,0.07
12500,3.3911,0.9142,0.5526,0.3615,0.0195,2.3e-06,0.07
12750,3.2028,0.9142,0.5525,0.3617,0.0191,6e-07,0.07
13000,3.2972,0.9142,0.5522,0.3621,0.019,0.0,0.07
